,CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,NOMBRE_DISTRITO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,CASILLA,NUM_ACTA_IMPRESO,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CI,PAN-PRI-PRD,PAN-PRI,PAN-PRD,PRI-PRD,PVEM-PT-MORENA,PVEM-PT,PVEM-MORENA,PT-MORENA,CANDIDATO/A NO REGISTRADO/A,VOTOS NULOS,TOTAL_VOTOS_CALCULADOS,LISTA_NOMINAL_CASILLA,OBSERVACIONES,MECANISMOS_TRASLADO,FECHA_HORA
33919,'094370B0100',094370B010032846,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4370,1,B,0,Urbana,2,287,46,9,2,3,8,65,0,0,1,0,1,2,0,0,0,0,0,0,0,6,430,618,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:12
33920,'094370C0100',094370C010037100,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4370,1,C,0,Urbana,2,294,38,11,1,3,5,52,0,1,1,0,5,0,0,0,1,0,0,0,0,4,416,617,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:14
33921,'094370C0200',094370C020037101,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4370,2,C,0,Urbana,2,303,38,6,1,0,10,45,1,1,1,0,4,1,0,1,0,0,1,1,1,2,417,617,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:37
33922,'094371B0100',094371B010032847,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4371,1,B,0,Urbana,2,349,51,3,3,1,13,58,5,1,2,0,7,2,0,0,0,0,0,5,0,5,505,722,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:32
33923,'094371C0100',094371C010037103,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4371,1,C,0,Urbana,2,338,53,8,3,1,5,49,3,0,4,0,4,0,2,0,0,0,0,1,0,1,472,721,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:23
33924,'094372B0100',094372B010032848,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4372,1,B,0,Urbana,2,300,46,3,0,3,6,54,2,1,1,0,7,0,0,0,1,0,0,0,0,2,426,646,Recuento (Para recuento (SRA)),I-D,10/06/2021 00:06:07
33925,'094372C0100',094372C010036001,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4372,1,C,0,Urbana,2,293,43,8,4,3,14,61,0,2,1,0,6,0,0,0,0,0,0,1,0,10,446,646,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:22
33926,'094373B0100',094373B010032849,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4373,1,B,0,Urbana,2,234,27,7,5,2,9,44,2,0,0,0,1,0,0,0,0,0,0,0,0,8,339,527,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:15
33927,'094373C0100',094373C010037105,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4373,1,C,0,Urbana,2,231,32,4,2,2,12,48,4,0,1,0,3,1,0,0,0,0,0,0,1,2,343,526,Recuento (Para recuento (SRA)),I-D,09/06/2021 11:06:49
33928,'094373C0200',094373C020041881,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4373,2,C,0,Urbana,2,260,26,4,5,2,11,48,1,0,1,0,4,0,1,0,0,0,0,0,1,2,366,526,Recuento (Para recuento (SRA)),I-D,09/06/2021 11:06:00
33929,'094374B0100',094374B010032850,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4374,1,B,0,Urbana,2,237,32,9,6,3,1,57,2,0,1,0,8,0,0,0,0,0,0,1,0,4,361,581,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:48
33930,'094374C0100',094374C010038125,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4374,1,C,0,Urbana,2,274,35,2,1,2,14,57,3,0,1,0,1,1,0,0,0,0,0,0,1,6,398,580,Recuento (Para recuento (SRA)),I-D,09/06/2021 18:06:32
33931,'094374C0200',094374C020036007,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4374,2,C,0,Urbana,2,239,42,4,5,3,5,56,4,1,2,0,0,3,0,0,0,0,0,0,0,6,370,580,Recuento (Para recuento (SRA)),I-D,10/06/2021 01:06:21
33932,'094375B0100',094375B010032851,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4375,1,B,0,Urbana,2,179,22,5,8,5,13,63,4,4,7,0,1,0,0,0,0,0,0,0,0,6,317,547,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:39
33933,'094375C0100',094375C010038128,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4375,1,C,0,Urbana,2,184,29,6,3,4,10,59,0,1,7,0,6,0,1,0,0,0,0,0,1,6,317,547,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:57
33934,'094375C0200',094375C020036009,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4375,2,C,0,Urbana,2,166,29,4,6,3,5,74,4,0,7,0,3,0,0,0,0,0,0,1,0,5,307,546,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:32
33935,'094376B0100',094376B010032852,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4376,1,B,0,Urbana,2,204,42,6,4,5,16,114,3,0,3,0,1,1,0,0,0,1,1,0,0,7,408,710,Recuento (Para recuento (SRA)),I-D,09/06/2021 12:06:08
33936,'094376C0100',094376C010038131,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4376,1,C,0,Urbana,2,259,46,9,4,2,9,77,5,1,3,0,3,4,0,0,1,0,0,0,0,8,431,709,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:30
33937,'094377B0100',094377B010032853,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4377,1,B,0,Urbana,2,150,40,6,8,0,11,99,2,2,3,0,2,1,0,0,1,0,0,1,0,2,328,556,Recuento (Para recuento (SRA)),I-D,10/06/2021 00:06:07
33938,'094377C0100',094377C010038132,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4377,1,C,0,Urbana,2,157,23,4,5,13,11,74,1,3,7,0,3,2,0,0,0,0,0,3,0,6,312,555,Recuento (Para recuento (SRA)),I-D,09/06/2021 18:06:03
33939,'094377C0200',094377C020036012,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4377,2,C,0,Urbana,2,154,38,8,9,2,12,73,2,2,3,0,3,0,0,0,1,0,1,1,0,9,318,555,Cotejo (Levantada en Casilla),I-D,09/06/2021 14:06:32
33940,'094378B0100',094378B010032854,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4378,1,B,0,Urbana,2,137,42,7,2,5,10,84,3,0,2,0,2,0,0,0,0,0,0,2,0,6,302,511,Cotejo (Levantada en Casilla),I-D,09/06/2021 14:06:24
33941,'094378C0100',094378C010039294,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4378,1,C,0,Urbana,2,157,38,3,3,7,8,80,1,3,2,0,4,0,0,0,0,0,0,0,1,4,311,510,Cotejo (Levantada en Casilla),I-D,09/06/2021 14:06:44
33942,'094378C0200',094378C020039295,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4378,2,C,0,Urbana,2,154,28,4,7,2,12,77,5,2,2,0,4,2,0,0,0,0,1,1,0,4,305,510,Recuento (Para recuento (SRA)),I-D,09/06/2021 13:06:16
